kRec_a00.1_zD-0.5_rTs0.10_Na5.dat:KR-RES  (Na,SSQ)  5 448.103340627
kRec_a00.1_zD-0.5_rTs0.10_Na11.dat:KR-RES  (Na,SSQ)  11 61.806100651
kRec_a00.1_zD-0.5_rTs0.10_Na15.dat:KR-RES  (Na,SSQ)  15 27.6361632354
kRec_a00.1_zD-0.5_rTs0.10_Na21.dat:KR-RES  (Na,SSQ)  21 11.9053060424
kRec_a00.1_zD-0.5_rTs0.10_Na25.dat:KR-RES  (Na,SSQ)  25 7.90313868277
kRec_a00.1_zD-0.5_rTs0.10_Na31.dat:KR-RES  (Na,SSQ)  31 4.95397666162
kRec_a00.1_zD-0.5_rTs0.10_Na35.dat:KR-RES  (Na,SSQ)  35 3.89690790584
kRec_a00.1_zD-0.5_rTs0.10_Na41.dat:KR-RES  (Na,SSQ)  41 2.94549220986
kRec_a00.1_zD-0.5_rTs0.10_Na45.dat:KR-RES  (Na,SSQ)  45 2.54822975996
kRec_a00.1_zD-0.5_rTs0.10_Na51.dat:KR-RES  (Na,SSQ)  51 2.15100224896
kRec_a00.1_zD-0.5_rTs0.10_Na55.dat:KR-RES  (Na,SSQ)  55 1.97039533874
kRec_a00.1_zD-0.5_rTs0.10_Na61.dat:KR-RES  (Na,SSQ)  61 1.77901885399
kRec_a00.1_zD-0.5_rTs0.10_Na65.dat:KR-RES  (Na,SSQ)  65 1.6873285067
kRec_a00.1_zD-0.5_rTs0.10_Na71.dat:KR-RES  (Na,SSQ)  71 1.58950024064
kRec_a00.1_zD-0.5_rTs0.10_Na75.dat:KR-RES  (Na,SSQ)  75 1.54506527561
kRec_a00.1_zD-0.5_rTs0.10_Na81.dat:KR-RES  (Na,SSQ)  81 1.49903278784
kRec_a00.1_zD-0.5_rTs0.10_Na85.dat:KR-RES  (Na,SSQ)  85 1.47899420889
kRec_a00.1_zD-0.5_rTs0.10_Na91.dat:KR-RES  (Na,SSQ)  91 1.46218172607
kRec_a00.1_zD-0.5_rTs0.10_Na95.dat:KR-RES  (Na,SSQ)  95 1.45751815276
kRec_a00.1_zD-0.5_rTs0.10_Na101.dat:KR-RES  (Na,SSQ)  101 1.4550883289
