kRec_a00.1_zD-0.02_rTs0.20_Na3.dat:KR-RES  (Na,SSQ)  3 3.74310659255
kRec_a00.1_zD-0.02_rTs0.20_Na5.dat:KR-RES  (Na,SSQ)  5 1.16662885696
kRec_a00.1_zD-0.02_rTs0.20_Na7.dat:KR-RES  (Na,SSQ)  7 0.478317273135
kRec_a00.1_zD-0.02_rTs0.20_Na9.dat:KR-RES  (Na,SSQ)  9 0.263579872816
kRec_a00.1_zD-0.02_rTs0.20_Na11.dat:KR-RES  (Na,SSQ)  11 0.156221298846
kRec_a00.1_zD-0.02_rTs0.20_Na13.dat:KR-RES  (Na,SSQ)  13 0.106755730349
kRec_a00.1_zD-0.02_rTs0.20_Na15.dat:KR-RES  (Na,SSQ)  15 0.0747811247069
kRec_a00.1_zD-0.02_rTs0.20_Na17.dat:KR-RES  (Na,SSQ)  17 0.0570694001483
kRec_a00.1_zD-0.02_rTs0.20_Na21.dat:KR-RES  (Na,SSQ)  21 0.0357892695313
kRec_a00.1_zD-0.02_rTs0.20_Na23.dat:KR-RES  (Na,SSQ)  23 0.029204661208
kRec_a00.1_zD-0.02_rTs0.20_Na25.dat:KR-RES  (Na,SSQ)  25 0.0248905989894
kRec_a00.1_zD-0.02_rTs0.20_Na27.dat:KR-RES  (Na,SSQ)  27 0.0211408274749
kRec_a00.1_zD-0.02_rTs0.20_Na29.dat:KR-RES  (Na,SSQ)  29 0.0185613031599
kRec_a00.1_zD-0.02_rTs0.20_Na31.dat:KR-RES  (Na,SSQ)  31 0.0162356704699
kRec_a00.1_zD-0.02_rTs0.20_Na33.dat:KR-RES  (Na,SSQ)  33 0.0145940315342
kRec_a00.1_zD-0.02_rTs0.20_Na35.dat:KR-RES  (Na,SSQ)  35 0.0130278127744
kRec_a00.1_zD-0.02_rTs0.20_Na37.dat:KR-RES  (Na,SSQ)  37 0.0119098537075
kRec_a00.1_zD-0.02_rTs0.20_Na41.dat:KR-RES  (Na,SSQ)  41 0.0100190489074
kRec_a00.1_zD-0.02_rTs0.20_Na45.dat:KR-RES  (Na,SSQ)  45 0.00863814216773
kRec_a00.1_zD-0.02_rTs0.20_Na51.dat:KR-RES  (Na,SSQ)  51 0.00711770471564
kRec_a00.1_zD-0.02_rTs0.20_Na55.dat:KR-RES  (Na,SSQ)  55 0.00639593574656
kRec_a00.1_zD-0.02_rTs0.20_Na61.dat:KR-RES  (Na,SSQ)  61 0.00559458251061
kRec_a00.1_zD-0.02_rTs0.20_Na65.dat:KR-RES  (Na,SSQ)  65 0.0051620670008
kRec_a00.1_zD-0.02_rTs0.20_Na71.dat:KR-RES  (Na,SSQ)  71 0.00462958169337
kRec_a00.1_zD-0.02_rTs0.20_Na75.dat:KR-RES  (Na,SSQ)  75 0.00435112203269
kRec_a00.1_zD-0.02_rTs0.20_Na81.dat:KR-RES  (Na,SSQ)  81 0.00401992924591
kRec_a00.1_zD-0.02_rTs0.20_Na85.dat:KR-RES  (Na,SSQ)  85 0.00382907778301
kRec_a00.1_zD-0.02_rTs0.20_Na91.dat:KR-RES  (Na,SSQ)  91 0.00357565550267
kRec_a00.1_zD-0.02_rTs0.20_Na95.dat:KR-RES  (Na,SSQ)  95 0.00343764907038
kRec_a00.1_zD-0.02_rTs0.20_Na101.dat:KR-RES  (Na,SSQ)  101 0.00326861625821
