# KERNEL RECONSTRUCTION PROCEDURE
# succ  =  True
# stat  =  0
# msg   =  Optimization terminated successfully.
# Niter =  26
KR-RES  (Na,SSQ)  81 0.305547646133
# FOURIER COEFFICIENTS OF KERNEL EXPANSION
# Na =  81
# (i) (a0[i]) (aOpt[i])
a  0 21.2278882678 23.6564680321
a  1 15.427435215 14.0326678479
a  2 9.12878256041 12.8941771863
a  3 8.76325765609 4.26901468658
a  4 9.7985659782 10.9929662834
a  5 5.3945587794 0.864864151589
a  6 8.28386449126 7.04433884027
a  7 3.74040891977 -0.125485661827
a  8 6.84577712047 4.16238208327
a  9 2.85183354752 -0.276388055711
a  10 5.73737276577 2.19688460854
a  11 2.33024567631 -0.0999479587623
a  12 4.89846887677 0.799477104065
a  13 2.00120594983 0.150255736587
a  14 4.25281651151 -0.163099928124
a  15 1.78146570916 0.553459021095
a  16 3.7443284171 -0.797533220011
a  17 1.62790944904 0.883279033773
a  18 3.3348167853 -1.18058729728
a  19 1.5165983623 1.36773326045
a  20 2.99834548537 -1.68217190001
a  21 1.43344725301 1.81366926425
a  22 2.71699652246 -1.59773407769
a  23 1.36975721599 2.58212220781
a  24 2.47811568134 -1.52839904646
a  25 1.31993215408 2.64466383517
a  26 2.27256471768 -1.03034132143
a  27 1.2802449391 2.87853789104
a  28 2.09360447221 -1.19141781453
a  29 1.24813813844 3.28106284864
a  30 1.936168582 -1.38943883689
a  31 1.22181101413 4.25039150092
a  32 1.79638135374 -0.616648901832
a  33 1.19996668267 4.55952417484
a  34 1.67123095023 -0.476916842449
a  35 1.18165237755 5.15235308842
a  36 1.55834335998 -0.0433243960217
a  37 1.16615568964 5.1912713045
a  38 1.45582309792 0.483075661194
a  39 1.15293548544 5.18322132024
a  40 1.3621389588 1.0119920224
a  41 1.14157488807 5.30198906789
a  42 1.27604075211 0.60189790622
a  43 1.13174863461 6.07361986125
a  44 1.19649771072 1.27280661339
a  45 1.12320000504 5.81564959494
a  46 1.12265230569 1.59163886024
a  47 1.11572424926 6.01691315715
a  48 1.05378517514 1.6520146752
a  49 1.1091565048 6.10083750585
a  50 0.989288181295 1.91032666611
a  51 1.10336286835 6.20711289946
a  52 0.928643487784 2.12282722751
a  53 1.09823371565 6.11216025544
a  54 0.871407148808 2.46450443976
a  55 1.09367864618 6.23054384588
a  56 0.81719611663 2.40910547357
a  57 1.08962261691 6.02303715533
a  58 0.765677865356 3.26147309503
a  59 1.08600295669 5.70240816199
a  60 0.716562036052 2.38501841591
a  61 1.08276703977 6.2559022897
a  62 0.669593657304 3.0650673452
a  63 1.07987045784 5.68714858264
a  64 0.624547603685 3.39090947095
a  65 1.07727557265 4.86556464946
a  66 0.581224034327 3.47933302744
a  67 1.07495036196 5.11258004493
a  68 0.539444612896 3.88747604238
a  69 1.07286749318 4.37632195457
a  70 0.499049354618 3.03931315721
a  71 1.07100357561 4.65110513847
a  72 0.459893979449 3.3970368187
a  73 1.06933855339 4.26861141768
a  74 0.421847675988 3.39767367975
a  75 1.06785521066 3.38636120871
a  76 0.384791200303 3.16013081855
a  77 1.06653876642 3.85218308302
a  78 0.34861524893 3.19160501737
a  79 1.06537654189 3.64201407363
a  80 0.313219057097 3.4301841563
# (z) (Gauss approx) (K a0) (K aOpt)
k  -0.05 100.0 90.4430530073 176.666567462
k  -0.049 90.4837418036 99.356560139 67.6416410119
k  -0.048 81.8730753078 75.2209171589 -87.4959802722
k  -0.047 74.0818220682 78.581457812 41.2293411334
k  -0.046 67.0320046036 65.6051124618 64.3051113395
k  -0.045 60.6530659713 60.5112666814 49.1774850596
k  -0.044 54.8811636094 57.0292073263 76.068816885
k  -0.043 49.6585303791 47.7154194476 51.6030044434
k  -0.042 44.9328964117 47.2581001315 60.6118541289
k  -0.041 40.6569659741 39.9263154744 52.2376075653
k  -0.04 36.7879441171 37.2082290262 48.9576364405
k  -0.039 33.2871083698 34.4938516519 53.9185170361
k  -0.038 30.1194211912 29.1583818995 38.5788342658
k  -0.037 27.2531793034 28.9293538151 45.6423637584
k  -0.036 24.6596963942 24.1174560319 33.0835954088
k  -0.035 22.3130160148 22.8749058152 32.3148613098
k  -0.034 20.1896517995 20.9550249448 38.4987098765
k  -0.033 18.2683524053 17.6907513683 27.3666501048
k  -0.032 16.5298888222 17.8366262561 33.2366831119
k  -0.031 14.9568619223 14.4634606278 24.9972263065
k  -0.03 13.5335283237 14.1233979036 20.5530206034
k  -0.029 12.2456428253 12.7206626045 20.8196331452
k  -0.028 11.0803158362 10.6918007196 18.2231547019
k  -0.027 10.0258843723 11.0733806957 22.2937418179
k  -0.026 9.07179532894 8.58217338061 12.8938817731
k  -0.025 8.20849986239 8.79177101899 17.7728049864
k  -0.024 7.42735782143 7.68809870567 16.547720705
k  -0.023 6.72055127397 6.44530342465 9.81906108386
k  -0.022 6.08100626252 6.93230492677 15.9647314539
k  -0.021 5.50232200564 5.00527849329 6.11780797346
k  -0.02 4.97870683679 5.54866788408 8.46221272681
k  -0.019 4.50492023936 4.59988000563 10.4742579042
k  -0.018 4.07622039784 3.88351483516 8.35928056716
k  -0.017 3.68831674012 4.38545848182 12.1439992931
k  -0.016 3.33732699603 2.83428111856 0.714626676759
k  -0.015 3.01973834223 3.57963607024 6.7675106435
k  -0.014 2.73237224473 2.69492504092 8.22366300803
k  -0.013 2.47235264703 2.35049511305 0.634180477757
k  -0.012 2.23707718562 2.80922340387 8.55541515267
k  -0.011 2.02419114458 1.52062015676 3.55509424368
k  -0.01 1.83156388887 2.38762009248 2.68908429943
