# FILE:  main_diffTrafo_EX1.py
# SIMULATION PARAMETERS ---------------------------------------
# zMin  = 0.0
# zMax  = 0.3
# p0-PROFILE --------------------------------------------------
# zAMin = 0.1
# zAMax = 0.2
# N     = 300
# c0    = 1.0
# IRRADIATION SOURCE PROFILE ----------------------------------
# a0    = 0.1
# DETECTOR POSITION -------------------------------------------
# zD    = -0.01
# OPTOACOUSTIC PARAMETERS -------------------------------------
# wD    = 2.0
# D     = 0.0318309886184
# (t) (c tau) (pz)
-0.01 0.0318309886184 -0.1 0.0
-0.01 0.0318309886184 -0.0989966555184 0.0
-0.01 0.0318309886184 -0.0979933110368 0.0
-0.01 0.0318309886184 -0.0969899665552 0.0
-0.01 0.0318309886184 -0.0959866220736 0.0
-0.01 0.0318309886184 -0.094983277592 0.0
-0.01 0.0318309886184 -0.0939799331104 0.0
-0.01 0.0318309886184 -0.0929765886288 0.0
-0.01 0.0318309886184 -0.0919732441472 0.0
-0.01 0.0318309886184 -0.0909698996656 0.0
-0.01 0.0318309886184 -0.0899665551839 0.0
-0.01 0.0318309886184 -0.0889632107023 0.0
-0.01 0.0318309886184 -0.0879598662207 0.0
-0.01 0.0318309886184 -0.0869565217391 0.0
-0.01 0.0318309886184 -0.0859531772575 0.0
-0.01 0.0318309886184 -0.0849498327759 0.0
-0.01 0.0318309886184 -0.0839464882943 0.0
-0.01 0.0318309886184 -0.0829431438127 0.0
-0.01 0.0318309886184 -0.0819397993311 0.0
-0.01 0.0318309886184 -0.0809364548495 0.0
-0.01 0.0318309886184 -0.0799331103679 0.0
-0.01 0.0318309886184 -0.0789297658863 0.0
-0.01 0.0318309886184 -0.0779264214047 0.0
-0.01 0.0318309886184 -0.0769230769231 0.0
-0.01 0.0318309886184 -0.0759197324415 0.0
-0.01 0.0318309886184 -0.0749163879599 0.0
-0.01 0.0318309886184 -0.0739130434783 0.0
-0.01 0.0318309886184 -0.0729096989967 0.0
-0.01 0.0318309886184 -0.0719063545151 0.0
-0.01 0.0318309886184 -0.0709030100334 0.0
-0.01 0.0318309886184 -0.0698996655518 0.0
-0.01 0.0318309886184 -0.0688963210702 0.0
-0.01 0.0318309886184 -0.0678929765886 0.0
-0.01 0.0318309886184 -0.066889632107 0.0
-0.01 0.0318309886184 -0.0658862876254 0.0
-0.01 0.0318309886184 -0.0648829431438 0.0
-0.01 0.0318309886184 -0.0638795986622 0.0
-0.01 0.0318309886184 -0.0628762541806 0.0
-0.01 0.0318309886184 -0.061872909699 0.0
-0.01 0.0318309886184 -0.0608695652174 0.0
-0.01 0.0318309886184 -0.0598662207358 0.0
-0.01 0.0318309886184 -0.0588628762542 0.0
-0.01 0.0318309886184 -0.0578595317726 0.0
-0.01 0.0318309886184 -0.056856187291 0.0
-0.01 0.0318309886184 -0.0558528428094 0.0
-0.01 0.0318309886184 -0.0548494983278 0.0
-0.01 0.0318309886184 -0.0538461538462 0.0
-0.01 0.0318309886184 -0.0528428093645 0.0
-0.01 0.0318309886184 -0.0518394648829 0.0
-0.01 0.0318309886184 -0.0508361204013 0.0
-0.01 0.0318309886184 -0.0498327759197 0.0
-0.01 0.0318309886184 -0.0488294314381 0.0
-0.01 0.0318309886184 -0.0478260869565 0.0
-0.01 0.0318309886184 -0.0468227424749 0.0
-0.01 0.0318309886184 -0.0458193979933 0.0
-0.01 0.0318309886184 -0.0448160535117 0.0
-0.01 0.0318309886184 -0.0438127090301 0.0
-0.01 0.0318309886184 -0.0428093645485 0.0
-0.01 0.0318309886184 -0.0418060200669 0.0
-0.01 0.0318309886184 -0.0408026755853 0.0
-0.01 0.0318309886184 -0.0397993311037 0.0
-0.01 0.0318309886184 -0.0387959866221 0.0
-0.01 0.0318309886184 -0.0377926421405 0.0
-0.01 0.0318309886184 -0.0367892976589 0.0
-0.01 0.0318309886184 -0.0357859531773 0.0
-0.01 0.0318309886184 -0.0347826086957 0.0
-0.01 0.0318309886184 -0.033779264214 0.0
-0.01 0.0318309886184 -0.0327759197324 0.0
-0.01 0.0318309886184 -0.0317725752508 0.0
-0.01 0.0318309886184 -0.0307692307692 0.0
-0.01 0.0318309886184 -0.0297658862876 0.0
-0.01 0.0318309886184 -0.028762541806 0.0
-0.01 0.0318309886184 -0.0277591973244 0.0
-0.01 0.0318309886184 -0.0267558528428 0.0
-0.01 0.0318309886184 -0.0257525083612 0.0
-0.01 0.0318309886184 -0.0247491638796 0.0
-0.01 0.0318309886184 -0.023745819398 0.0
-0.01 0.0318309886184 -0.0227424749164 0.0
-0.01 0.0318309886184 -0.0217391304348 0.0
-0.01 0.0318309886184 -0.0207357859532 0.0
-0.01 0.0318309886184 -0.0197324414716 0.0
